Rank,Club,Country,Level,Elo,From,To
None,Shamrock,IRL,0,1313.01416016,2026-07-29,2026-08-30
None,CSKA 1948 Sofia,BUL,1,1312.79211426,2026-07-29,2026-07-31
None,Neftchi,AZE,0,1312.18469238,2026-07-23,2026-07-30
None,Sabah,AZE,0,1311.19018555,2026-07-29,2026-08-30
None,Zuerich,SUI,1,1307.39782715,2026-07-27,2026-08-01
None,UTA Arad,ROM,1,1305.11437988,2026-07-25,2026-08-01
None,Ried,AUT,1,1301.83740234,2026-05-26,2026-08-02
None,HNK Gorica,CRO,1,1300.91833496,2026-05-24,2026-08-01
None,Altach,AUT,1,1298.19030762,2026-05-17,2026-08-02
None,Sochi,RUS,1,1297.66748047,2026-03-15,2026-08-30
None,Kilmarnock,SCO,1,1297.11791992,2026-05-18,2026-08-02
None,Kuopio,FIN,0,1296.51391602,2026-07-29,2026-08-30
None,Otelul Galati,ROM,1,1296.07861328,2026-07-25,2026-07-31
None,Amiens,FRA,2,1295.50195312,2026-05-31,2026-08-30
None,Bravo,SVN,1,1294.92614746,2026-07-27,2026-07-30
None,Start,NOR,1,1294.8314209,2026-07-26,2026-08-01
None,Kairat,KAZ,0,1294.38867188,2026-07-30,2026-08-30
None,Noah,ARM,0,1294.14245605,2026-07-24,2026-07-30
None,Viitorul,ROM,1,1293.85339355,2026-07-26,2026-08-03
None,Panetolikos,GRE,1,1292.25952148,2026-05-22,2026-08-23
None,Wattens,AUT,1,1292.03271484,2026-05-17,2026-08-01
None,Ujpest,HUN,1,1291.9354248,2026-07-25,2026-08-30
None,Aalesund,NOR,1,1291.39428711,2026-07-27,2026-08-02
None,Istra 1961,CRO,1,1291.16674805,2026-05-24,2026-08-01
None,Tescoma Zlin,CZE,1,1290.13586426,2026-07-26,2026-07-31
None,Grasshoppers,SUI,1,1289.90795898,2026-07-26,2026-08-02
None,Kifisias,GRE,1,1289.7779541,2026-05-22,2026-08-23
None,Novi Sad,SRB,1,1288.29541016,2026-07-27,2026-07-30
None,Brommapojkarna,SWE,1,1286.93835449,2026-07-27,2026-08-02
None,Dundee United,SCO,1,1286.71264648,2026-05-18,2026-07-31
None,Pyunik,ARM,0,1286.7109375,2026-07-24,2026-07-30
None,Nyiregyhaza,HUN,1,1285.84594727,2026-07-25,2026-08-30
None,Vikingur,ISL,0,1285.12316895,2026-07-30,2026-08-30
None,Slovacko,CZE,1,1284.80163574,2026-07-27,2026-08-30
None,FK Riga,LAT,0,1283.32739258,2026-07-29,2026-08-30
None,MTK,HUN,1,1283.06335449,2026-07-28,2026-08-01
None,Zrinjski Mostar,BHZ,0,1283.0456543,2026-07-24,2026-07-30
None,Slaven Belupo,CRO,1,1282.4810791,2026-05-23,2026-07-31
None,Vaduz,LIE,0,1280.60302734,2026-07-27,2026-07-30
None,GAK,AUT,1,1279.8104248,2026-05-17,2026-07-31
None,Cherno More,BUL,1,1279.59606934,2026-07-27,2026-08-01
None,St Patricks,IRL,0,1278.34521484,2026-01-01,2026-08-30
None,Botosani,ROM,1,1277.43029785,2026-07-28,2026-08-03
None,Kolos,UKR,1,1274.75073242,2026-07-03,2026-07-31
None,Zorya,UKR,1,1274.75073242,2026-07-03,2026-07-31
None,Karpaty,UKR,1,1274.75073242,2026-07-03,2026-08-01
None,Kryvbas,UKR,1,1274.75073242,2026-07-03,2026-08-01
None,Veres,UKR,1,1274.75073242,2026-07-03,2026-08-01
None,FC Kharkiv,UKR,1,1274.75073242,2026-07-03,2026-08-01
None,Polissya Zhytomyr,UKR,1,1274.75073242,2026-07-30,2026-08-02
None,Obolon Kyiv,UKR,1,1274.75073242,2026-07-03,2026-08-02
None,Episentr,UKR,1,1274.75073242,2026-07-03,2026-08-02
None,Chernomorets,UKR,1,1274.75073242,2026-07-03,2026-08-02
None,Tobol,KAZ,0,1273.34179688,2026-07-24,2026-07-30
None,Halmstad,SWE,1,1272.30554199,2026-07-27,2026-08-03
None,Degerfors,SWE,1,1271.91064453,2026-07-26,2026-08-02
None,Netanya,ISR,1,1271.08203125,2026-05-19,2026-08-30
None,Falkirk,SCO,1,1270.04736328,2026-05-17,2026-08-01
None,Aarau,SUI,1,1267.46704102,2026-05-19,2026-08-30
None,Csikszereda,ROM,1,1267.13671875,2026-07-27,2026-08-08
None,Petrolul Ploiesti,ROM,1,1266.38818359,2026-07-20,2026-08-01
None,Dundee,SCO,1,1266.15881348,2026-05-18,2026-08-03
None,Vaesteras,SWE,1,1264.99951172,2026-07-25,2026-08-03
None,Arda,BUL,1,1262.61499023,2026-07-25,2026-07-31
None,Kisvarda,HUN,1,1261.06713867,2026-07-26,2026-07-31
None,Aberdeen,SCO,1,1258.19970703,2026-05-18,2026-08-01
None,Oergryte,SWE,1,1257.30456543,2026-07-25,2026-08-02
None,HJK Helsinki,FIN,0,1246.64978027,2026-07-24,2026-07-30
None,Ararat,ARM,0,1246.33862305,2026-07-29,2026-08-30
None,Kalmar,SWE,1,1246.30627441,2026-07-26,2026-08-01
None,Honved,HUN,1,1246.13330078,2026-07-26,2026-08-01
None,Vasas SC,HUN,1,1246.13330078,2026-07-27,2026-08-30
None,Lustenau,AUT,1,1243.68859863,2026-07-03,2026-08-02
None,St Mirren,SCO,1,1243.31506348,2026-05-18,2026-08-01
None,Drita,KOS,0,1242.50073242,2026-07-29,2026-08-30
None,Shelbourne,IRL,0,1240.87084961,2026-07-24,2026-07-30
None,Zeleznicar Pancevo,SRB,1,1240.4041748,2026-07-23,2026-07-30
None,Iraklis,GRE,1,1239.89074707,2026-07-03,2026-08-22
None,Derry City,IRL,0,1233.97900391,2026-07-24,2026-07-30
None,Botev Plovdiv,BUL,1,1233.97180176,2026-07-28,2026-08-01
None,Winterthur,SUI,1,1232.13244629,2026-05-17,2026-08-30
None,Hapoel Jerusalem,ISR,1,1230.98937988,2026-05-19,2026-08-30
None,Hapoel Haifa,ISR,1,1230.64831543,2026-05-19,2026-08-30
None,Stjarnan,ISL,0,1230.38879395,2026-07-24,2026-07-30
None,Bnei Sakhinin,ISR,1,1229.75512695,2026-05-19,2026-08-30
None,H Petach Tikva,ISR,1,1228.65100098,2026-05-24,2026-08-30
None,Velez Mostar,BHZ,0,1227.04248047,2026-07-24,2026-07-30
None,Shkendija,MAC,0,1226.55493164,2026-07-24,2026-07-30
None,Voluntari,ROM,1,1223.70605469,2026-07-28,2026-08-01
None,Sepsi,ROM,1,1223.70605469,2026-07-27,2026-08-02
None,Corvinul Hunedoara,ROM,1,1223.70605469,2026-07-26,2026-08-02
None,RFS,LAT,0,1221.79467773,2026-07-17,2026-08-30
None,St Johnstone,SCO,1,1213.45178223,2026-07-03,2026-08-02
None,Ironi Tiberias,ISR,1,1212.53637695,2026-05-19,2026-08-30
None,Valur,ISL,0,1211.37255859,2026-07-24,2026-07-30
None,FK Sarajevo,BHZ,0,1211.23156738,2026-07-17,2026-08-30
None,Borac Banja Luka,BHZ,0,1210.83227539,2026-07-24,2026-07-30
None,Lok Plovdiv,BUL,1,1205.97167969,2026-07-27,2026-08-30
None,Ilves Tampere,FIN,0,1205.37280273,2026-07-24,2026-07-30
None,Dinamo Minsk,BLR,0,1202.69592285,2026-07-23,2026-07-30
None,Inter Turku,FIN,0,1202.63513184,2026-07-23,2026-07-30
None,BATE,BLR,0,1202.37768555,2026-07-24,2026-07-30
None,Kiryat Shmona,ISR,1,1201.35681152,2026-05-19,2026-08-30
None,Alashkert,ARM,0,1199.71240234,2026-07-24,2026-07-30
None,Slavia Sofia,BUL,1,1199.17614746,2026-07-25,2026-07-31
None,OFK,SRB,1,1199.15270996,2026-07-20,2026-08-01
None,Cukaricki,SRB,1,1198.3515625,2026-07-26,2026-08-01
None,Novi Pazar,SRB,1,1194.02636719,2026-07-27,2026-08-01
None,Lok Sofia,BUL,1,1193.53747559,2026-07-26,2026-07-31
None,Brno,CZE,1,1192.71325684,2026-07-26,2026-08-01
None,Klaksvik,FAR,0,1189.47131348,2026-07-30,2026-08-30
None,Kragujevac,SRB,1,1187.92358398,2026-07-19,2026-08-01
None,Liepajas,LAT,0,1187.7734375,2026-07-24,2026-07-30
None,Radomlje,SVN,1,1187.16796875,2026-07-27,2026-08-30
None,Ballkani,KOS,0,1185.13781738,2026-07-23,2026-07-30
None,Dinamo Tirana,ALB,0,1183.72375488,2026-07-24,2026-07-30
None,Auda,LAT,0,1179.07128906,2026-07-24,2026-07-30
None,Ashdod,ISR,1,1172.46362305,2026-05-19,2026-08-30
None,Dynamo Kyiv,UKR,0,1170.23571777,2026-07-24,2026-07-30
None,LNZ,UKR,0,1170.23571777,2026-07-24,2026-07-30
None,Zalgiris Vilnius,LIT,0,1167.50366211,2026-07-24,2026-07-30
None,IMT,SRB,1,1167.2331543,2026-07-26,2026-08-30
None,Botev Vratsa,BUL,1,1165.69104004,2026-07-26,2026-08-02
None,Torpedo Kutaisi,GEO,0,1159.65441895,2026-07-17,2026-08-30
None,Radnik Surdulica,SRB,1,1159.57312012,2026-07-20,2026-08-30
None,Petrocub,MOL,0,1159.45910645,2026-07-24,2026-07-30
None,Partizani Tirana,ALB,0,1158.83312988,2026-01-01,2026-08-30
None,Egnatia,ALB,0,1157.89331055,2026-07-29,2026-08-30
None,Dinamo Tbilisi,GEO,0,1153.70239258,2026-07-24,2026-07-30
None,Dila Gori,GEO,0,1149.45703125,2026-07-29,2026-08-30
None,Saburtalo,GEO,0,1149.44433594,2026-07-30,2026-08-30
None,Vllaznia,ALB,0,1145.86279297,2026-07-16,2026-08-30
None,Vukovar,CRO,1,1141.32226562,2026-05-23,2026-08-30
None,Mura,SVN,1,1140.62072754,2026-07-26,2026-08-30
None,Aluminij,SVN,1,1136.1673584,2026-07-26,2026-07-30
None,Mladost Lucani,SRB,1,1133.2512207,2026-07-27,2026-08-30
None,Kauno Zalgiris,LIT,0,1131.27331543,2026-07-30,2026-08-30
None,Flora Tallinn,EST,0,1130.34924316,2026-07-24,2026-07-30
None,Maccabi Bnei Raina,ISR,1,1127.99328613,2026-05-19,2026-08-30
None,Zimbru,MOL,0,1121.74816895,2026-07-24,2026-07-30
None,Nis,SRB,1,1120.0267334,2026-07-26,2026-08-30
None,Hamrun,MLT,0,1116.77966309,2026-07-17,2026-08-30
None,Nafta,SVN,1,1116.73962402,2026-07-27,2026-08-30
None,Panevezys,LIT,0,1114.84375,2026-07-24,2026-07-30
None,Linfield,NIR,0,1112.89929199,2026-07-17,2026-08-30
None,Milsami Orhei,MOL,0,1106.4597168,2026-07-17,2026-08-30
None,Hegelmann,LIT,0,1105.8293457,2026-07-17,2026-08-30
None,Spartak Varna,BUL,1,1099.84106445,2026-07-27,2026-08-30
None,Vardar,MAC,0,1099.73193359,2026-07-29,2026-08-30
None,Decic,MNT,0,1098.27709961,2026-07-16,2026-08-30
None,Septemvri Sofia,BUL,1,1095.19165039,2026-07-27,2026-08-01
None,Sileks,MAC,0,1091.06091309,2026-07-17,2026-08-30
None,Dukagjini,KOS,0,1084.08703613,2026-07-30,2026-08-30
None,Paide Linnameeskond,EST,0,1082.51745605,2026-07-24,2026-07-30
None,Sutjeska,MNT,0,1082.15710449,2026-07-16,2026-08-30
None,Rabotnicki,MAC,0,1081.38427734,2026-02-27,2026-08-30
None,Nomme Kalju,EST,0,1067.46813965,2026-07-24,2026-07-30
None,The New Saints,WAL,0,1066.42773438,2026-07-24,2026-07-30
None,Lincoln,GIB,0,1065.0925293,2026-07-29,2026-08-15
None,Differdang,LUX,0,1064.40563965,2026-07-17,2026-08-30
None,Floriana,MLT,0,1063.39416504,2026-07-29,2026-08-30
None,Larne,NIR,0,1059.32751465,2026-07-30,2026-08-30
None,Marsaxlokk,MLT,0,1058.54980469,2026-07-17,2026-08-30
None,Valletta,MLT,0,1058.54980469,2026-07-24,2026-07-30
None,Coleraine,NIR,0,1056.44763184,2026-07-24,2026-07-30
None,Glentoran,NIR,0,1056.44763184,2026-07-17,2026-08-30
None,R Letzebuerg,LUX,0,1055.80236816,2026-01-01,2026-08-30
None,Malisheva,KOS,0,1053.15771484,2026-07-24,2026-07-30
None,Dunav Ruse,BUL,1,1051.70751953,2026-07-28,2026-08-02
None,FC Infonet,EST,0,1050.10693359,2026-07-22,2026-07-30
None,HB Torshavn,FAR,0,1050.02600098,2026-07-24,2026-07-30
None,Macva Sabac,SRB,1,1049.02087402,2026-07-27,2026-08-30
None,Zemun,SRB,1,1049.02087402,2026-07-26,2026-08-30
None,Una Strassen,LUX,0,1047.87158203,2026-07-24,2026-07-30
None,Mornar,MNT,0,1045.57641602,2026-07-17,2026-08-30
None,Petrovac,MNT,0,1045.57641602,2026-07-17,2026-08-30
None,Runavik,FAR,0,1039.27258301,2026-07-24,2026-07-30
None,Dudelange,LUX,0,1035.68371582,2026-01-01,2026-08-30
None,Gota,FAR,0,1033.25927734,2026-07-17,2026-08-30
None,Escaldes,AND,0,1002.06817627,2026-07-15,2026-08-30
None,Penybont,WAL,0,988.081848145,2026-07-17,2026-08-30
None,Caernarfon Town,WAL,0,969.859069824,2026-07-17,2026-08-30
None,Connahs Quay,WAL,0,969.859069824,2026-07-17,2026-08-30
None,St Josephs,GIB,0,968.097045898,2026-07-17,2026-08-30
None,College Europa,GIB,0,955.99798584,2026-07-17,2026-08-30
None,Santa Coloma,AND,0,954.305236816,2026-07-30,2026-08-30
None,Atletic Club Escaldes,AND,0,944.222595215,2026-07-24,2026-07-30
None,SS Virtus,SMR,0,767.627746582,2026-07-17,2026-08-30
None,Tre Fiori,SMR,0,736.193237305,2026-07-15,2026-08-30
None,La Fiorita,SMR,0,716.190124512,2026-07-15,2026-08-30


